ID;COMMENT;BOOK_ID
c094c253-1a81-4848-9ef5-3c41667514fb;Комментарий1;80e9ace3-1a83-40ae-b812-32b92785fb3b
de690fb2-2795-4d59-bc64-9d9a80f974bc;Комментарий2;9b7cc78d-edc0-473a-9980-f3645e37282f
1259ecac-a2a2-48e3-ae2d-a7eea9a9c0a8;Комментарий3;b518423a-ffd0-41dd-ad92-8fe88f17fa14
4275b0ef-0530-4690-8b10-26d77131a699;Комментарий4;65628c24-1a9e-4ec9-a8b4-9cd48c185880
15ee263a-c112-4c33-8572-d4f06ce2604f;Комментарий5;9be85ff4-ad4b-416e-b7f4-9e402aa6648d
5e830856-1c08-4df4-a1d2-b9f50467fe30;Комментарий6;80e9ace3-1a83-40ae-b812-32b92785fb3b
30863a74-de74-4a1d-babb-97f216fe818e;Комментарий7;9b7cc78d-edc0-473a-9980-f3645e37282f
ff1d2a7b-b581-47f6-a979-5a27e4197c39;Комментарий8;b518423a-ffd0-41dd-ad92-8fe88f17fa14
d298e090-2797-4ef8-a7e5-7ccd6c53f51a;Комментарий9;65628c24-1a9e-4ec9-a8b4-9cd48c185880
a6800f4c-a2c1-49fd-b2ff-66bfbe10f620;Комментарий10;9be85ff4-ad4b-416e-b7f4-9e402aa6648d
5d419679-58e8-4146-9519-bc94c12f0eb3;Комментарий11;80e9ace3-1a83-40ae-b812-32b92785fb3b
35124a02-10a8-4792-a1ea-184303cb3bfb;Комментарий12;9b7cc78d-edc0-473a-9980-f3645e37282f
d4bac31e-4744-433b-9e63-a260f80e9bf0;Комментарий13;b518423a-ffd0-41dd-ad92-8fe88f17fa14
1c7d9b4f-877c-4ab1-b1a6-c10e8d213e58;Комментарий14;65628c24-1a9e-4ec9-a8b4-9cd48c185880
2d23d368-348a-43ff-a43c-1dfa46b086cf;Комментарий15;9be85ff4-ad4b-416e-b7f4-9e402aa6648d
db512922-e5af-41ef-ade9-ae8367fea9be;Комментарий16;80e9ace3-1a83-40ae-b812-32b92785fb3b
7907fb65-d448-49e5-892e-3e7104c1fbdd;Комментарий17;9b7cc78d-edc0-473a-9980-f3645e37282f
d9eaf8da-d40e-44af-a8d6-4e9e94cf408d;Комментарий18;b518423a-ffd0-41dd-ad92-8fe88f17fa14
559a7dbd-84be-4987-ba6d-cfd007be733e;Комментарий19;65628c24-1a9e-4ec9-a8b4-9cd48c185880
8e831125-fa0b-48c1-bc8f-542d1d78f305;Комментарий20;9be85ff4-ad4b-416e-b7f4-9e402aa6648d
1c299e99-3897-4598-a437-689b6432d2d1;Комментарий21;9be85ff4-ad4b-416e-b7f4-9e402aa6648d